venue,start_date,latitude,longitude,temperature,precipitation,wind_speed
Rangiri Dambulla International Stadium,2018-10-10,7.89,80.8,,,
Diamond Oval,2018-05-09,-28.7297,24.7619,14.5,,4.6
"Newlands, Cape Town",2003-03-07,-33.9981,18.4755,22.6,0.0,26.6
"ICC Academy, Dubai",2024-04-12,25.0758,55.165,30.1,0.8,12.9
Providence Stadium,2009-03-20,18.9389,72.8258,27.8,,
Sharjah Cricket Stadium,2013-12-22,25.2086,55.5296,19.9,,11.6
Sydney Cricket Ground,2024-02-04,-33.8688,151.2093,28.1,0.0,23.2
"St George's Park, Port Elizabeth",2003-02-13,-33.9814,25.5796,23.5,0.0,
Dubai International Cricket Stadium,2015-11-20,18.9389,72.8258,30.4,,12.0
Welagedara Stadium,2008-05-08,6.93,80.57,15.7,5.6,
St George's Park,2017-01-28,-33.9598878271,25.6059959093,20.2,,40.7
Sydney Cricket Ground,2007-12-16,-33.8688,151.2093,19.7,0.0,22.8
"Rajiv Gandhi International Stadium, Uppal, Hyderabad",2023-01-18,17.4361,78.5366,24.8,0.0,6.8
"Hazelaarweg, Rotterdam",2022-08-18,51.9287,4.4867,20.2,0.0,6.5
Senwes Park,2013-01-25,-26.7036,27.9122,,,
"Sabina Park, Kingston, Jamaica",2022-01-16,18.0111,-76.7996,26.1,,15.0
Nehru Stadium,2009-11-08    ,18.9389,72.8258,30.4,,
"VRA Ground, Amstelveen",2022-06-17,52.2928,4.9175,22.0,0.0,13.2
Haslegrave Ground,2013-07-03,53.2347,-1.1786,,,
Harare Sports Club,2015-10-05,-17.815,31.0456,22.9,,
"Grange Cricket Club Ground, Raeburn Place",2016-09-08,55.95,-3.2075,16.1,,15.1
Gymkhana Club Ground,2007-02-04,18.9389,72.8258,23.9,,
"Tony Ireland Stadium, Townsville",2022-08-31,-19.2587,146.828,22.4,0.6,16.5
National Stadium,2004-10-06,12.0554,-61.7513,,,
Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),2022-02-08,23.6344,58.5624,21.9,,15.0
Melbourne Cricket Ground,2015-03-29,-37.822,144.9635,15.2,0.0,11.7
Harare Sports Club,2024-03-26,-17.815,31.0456,21.0,0.5,11.5
Harare Sports Club,2003-02-19,-17.815,31.0456,22.4,0.0,
Shere Bangla National Stadium,2015-06-24,23.75,90.4,28.3,0.0,9.7
Edgbaston,2013-06-23,52.4828,-1.8998,13.3,,25.5
Seddon Park,2017-03-01,-37.6817,175.2703,,,
Seddon Park,2007-02-20,-37.6817,175.2703,,,
"Kensington Oval, Barbados",2019-02-20,13.1018,-59.6168,26.1,,32.1
Nehru Stadium,2007-11-05,18.9389,72.8258,30.5,,
Rawalpindi Cricket Stadium,2020-10-30,33.5833,73.05,17.8,,7.9
"Shere Bangla National Stadium, Mirpur",2022-12-07,23.8233,90.3917,23.5,0.0,10.7
New Wanderers Stadium,2009-10-03,-18.9389,30.7545,,,
Old Trafford,2006-06-28,53.4627,-2.291,16.5,,8.3
Edgbaston,2010-07-12,52.4828,-1.8998,15.0,,12.8
"Buffalo Park, East London",2023-03-18,-33.0247,27.9142,10.7,0.8,16.9
"St George's Park, Gqeberha",2023-12-19,-33.9678,25.5727,19.9,0.1,15.9
Vidarbha C.A. Ground,2005-10-25,18.9389,72.8258,27.7,,
Maple Leaf North-West Ground,2013-08-29,43.9526595227,-79.5051529794,24.9,0.0,6.0
Kingsmead,2015-08-26,-29.8567,31.0269,20.7,,13.1
Adelaide Oval,2013-01-13,-34.9285,138.6007,16.8,1.4,17.6
"The Cooper Associates County Ground, Taunton",2021-06-30,50.9097,-3.0986,17.7,,7.7
"Arnos Vale Ground, Kingstown",2012-03-20,13.1333,-61.2,,,
"MA Chidambaram Stadium, Chepauk",2007-03-05,13.0484,80.2116,27.2,,
Dubai International Cricket Stadium,2022-04-12,18.9389,72.8258,30.0,0.0,5.3
St George's Park,2011-01-21,-33.9598878271,25.6059959093,19.8,0.0,26.9
Sydney Cricket Ground,2011-01-23,-33.8688,151.2093,25.4,0.0,24.8
"Windsor Park, Roseau",2010-05-30,15.3167,-61.3833,,,
